"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C35","0603","-769.78mil","2017.779mil","-739.78mil","2017.779mil","-739.78mil","2017.779mil","T","180.00","7 PF"
"R39","0603","-469.835mil","907.984mil","-469.835mil","877.984mil","-469.835mil","877.984mil","T","90.00","68"
"R30","0603","-168.528mil","2144.023mil","-138.528mil","2144.023mil","-138.528mil","2144.023mil","T","180.00","100"
"R23","0603","-676.709mil","2274.102mil","-706.709mil","2274.102mil","-706.709mil","2274.102mil","T","360.00","3.3K"
"R34","0603","-572.835mil","882.63mil","-572.835mil","852.63mil","-572.835mil","852.63mil","T","90.00","6.8K"
"R13","0603","548.701mil","1906.434mil","548.701mil","1936.434mil","548.701mil","1936.434mil","T","270.00","6.8K"
"L15","0603","-103.457mil","2351.346mil","-133.457mil","2351.346mil","-133.457mil","2351.346mil","T","360.00","6.8 nH"
"L9","0603","-132.528mil","2267.023mil","-132.528mil","2237.023mil","-132.528mil","2237.023mil","T","90.00","6.8 nH"
"C60","0603","-269mil","1320mil","-299mil","1320mil","-299mil","1320mil","T","360.00","6.5 pF"
"C46","0603","-470.835mil","1027.984mil","-470.835mil","1057.984mil","-470.835mil","1057.984mil","T","270.00","6 pF"
"R50","0603","777.701mil","679.11mil","747.701mil","679.11mil","747.701mil","679.11mil","T","360.00","56K"
"R27","0603","-137.528mil","2044.023mil","-137.528mil","2074.023mil","-137.528mil","2074.023mil","T","270.00","220"
"R7","0603","734.339mil","1434.472mil","734.339mil","1464.472mil","734.339mil","1464.472mil","T","270.00","560"
"R1","0603","56.701mil","1267.11mil","86.701mil","1267.11mil","86.701mil","1267.11mil","T","180.00","56"
"C3","0603","176.701mil","1280.11mil","206.701mil","1280.11mil","206.701mil","1280.11mil","T","180.00","5 pF"
"C31","0603","-72.528mil","2267.023mil","-72.528mil","2297.023mil","-72.528mil","2297.023mil","T","270.00","5 pF"
"C23","0603","364.882mil","1790.11mil","364.882mil","1760.11mil","364.882mil","1760.11mil","T","90.00","3 pF"
"R24","0603","-422.78mil","2126.779mil","-422.78mil","2156.779mil","-422.78mil","2156.779mil","T","270.00","2.7K"
"R4","0603","350.701mil","1199.11mil","320.701mil","1199.11mil","320.701mil","1199.11mil","T","360.00","470"
"C40","0603","-448.299mil","1235.11mil","-418.299mil","1235.11mil","-418.299mil","1235.11mil","T","180.00","47 pF"
"C29","0603","-572.78mil","2036.779mil","-542.78mil","2036.779mil","-542.78mil","2036.779mil","T","180.00","47 pF"
"L10","0603","-452.78mil","2036.779mil","-482.78mil","2036.779mil","-482.78mil","2036.779mil","T","360.00","47 nH"
"L17","0603","-269.118mil","1269.11mil","-239.118mil","1269.11mil","-239.118mil","1269.11mil","T","180.00","4.7nH"
"L1","0603","176.701mil","1382.11mil","206.701mil","1382.11mil","206.701mil","1382.11mil","T","180.00","4.7nH"
"R51","0603","-283.299mil","723.11mil","-313.299mil","723.11mil","-313.299mil","723.11mil","T","360.00","4.7K"
"R40","0603","-588.835mil","752.984mil","-588.835mil","782.984mil","-588.835mil","782.984mil","T","270.00","4.7K"
"R35","0603","-522mil","1002.63mil","-522mil","1032.63mil","-522mil","1032.63mil","T","270.00","4.7K"
"R22","0603","-368mil","2274.63mil","-338mil","2274.63mil","-338mil","2274.63mil","T","180.00","4.7K"
"R19","0603","-521.78mil","2406.779mil","-551.78mil","2406.779mil","-551.78mil","2406.779mil","T","360.00","4.7K"
"R14","0603","428mil","1787.63mil","428mil","1757.63mil","428mil","1757.63mil","T","90.00","4.7K"
"C28","0603","-12.528mil","2267.023mil","-12.528mil","2237.023mil","-12.528mil","2237.023mil","T","90.00","4 pF"
"R36","0603","-522mil","882.63mil","-522mil","912.63mil","-522mil","912.63mil","T","270.00","39K"
"R15","0603","488.701mil","1906.434mil","488.701mil","1876.434mil","488.701mil","1876.434mil","T","90.00","39K"
"L7","0805","-267.528mil","2302.023mil","-267.528mil","2347.023mil","-267.528mil","2347.023mil","T","270.00","330 nH"
"R2","0603","-203.299mil","1807.165mil","-173.299mil","1807.165mil","-173.299mil","1807.165mil","T","180.00","330"
"C42","0603","-736.835mil","1171.984mil","-736.835mil","1141.984mil","-736.835mil","1141.984mil","T","90.00","33 pF"
"C19","0603","579mil","1611mil","579mil","1641mil","579mil","1641mil","T","270.00","22 pF"
"C11","0603","-528.835mil","752.984mil","-528.835mil","722.984mil","-528.835mil","722.984mil","T","90.00","33 pF"
"L16","0603","-730.118mil","1278.968mil","-700.118mil","1278.968mil","-700.118mil","1278.968mil","T","180.00","3.3nH"
"R25","0603","-869.103mil","2183.102mil","-869.103mil","2153.102mil","-869.103mil","2153.102mil","T","90.00","3.3K"
"C45","0603","-2.457mil","2407.346mil","-32.457mil","2407.346mil","-32.457mil","2407.346mil","T","360.00","3 pF"
"C43","0603","-418.835mil","1147.984mil","-418.835mil","1177.984mil","-418.835mil","1177.984mil","T","270.00","3 pF"
"Q11","SOT23_TRANS","-98.799mil","982.11mil","-61.299mil","1022.11mil","-136.299mil","1022.11mil","T","180.00","2N3906"
