"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"Q1","3_PIN_ULTRA_SUPER_MINI_MOLD","184.685mil","4.409mil","165mil","30mil","165mil","30mil","T","270.00","NE85619"
"Q2","3_PIN_ULTRA_SUPER_MINI_MOLD","180.685mil","498.409mil","161mil","524mil","161mil","524mil","T","270.00","NE85619"
"U1","SSOP20_WIDE","596.842mil","631.457mil","712mil","785mil","712mil","785mil","T","180.00","PIC16F690"
"U5","SOT23-5A","372.5mil","740mil","335mil","690mil","335mil","690mil","T","90.00","TC1070"
"R26","0603","939mil","474mil","969mil","474mil","969mil","474mil","T","180.00","4.7M"
"L1","0603","60mil","0mil","60mil","30mil","60mil","30mil","T","270.00","2.7nH"
"E2","Antenna1","0mil","0mil","0mil","0mil","0mil","0mil","T","0.00","#NAME?"
"E3","Antenna1","22mil","774mil","22mil","774mil","22mil","774mil","T","0.00","#NAME?"
"EH2","EH_D0500P1000","449mil","864mil","449mil","864mil","449mil","864mil","T","90.00","#NAME?"
"EH1","EH_D0500P1000","509mil","864mil","509mil","864mil","509mil","864mil","T","0.00","#NAME?"
"B1","BATT_HOLDER1","484.157mil","369mil","494mil","369mil","60.929mil","369mil","B","270.00","BATT HOLDER COIN CR2032 CUT"
"R9","0603","965mil","1749mil","965mil","1719mil","965mil","1719mil","T","90.00","39K"
"J1","CONN5","829mil","1928mil","729mil","1928mil","729mil","1928mil","T","360.00","1X5 HEADER"
"C20","0603","370mil","1644mil","340mil","1644mil","340mil","1644mil","T","360.00","15pF"
"C17","0603","340mil","1554mil","340mil","1524mil","340mil","1524mil","T","90.00",".01uF"
"C11","0603","430mil","1464mil","400mil","1464mil","400mil","1464mil","T","360.00",".1uF"
"C15","0603","255mil","1294mil","255mil","1324mil","255mil","1324mil","T","270.00","0.1 uF"
"C18","0603","884.866mil","1081mil","884.866mil","1051mil","884.866mil","1051mil","T","90.00","0.1 uF"
"C24","0603","115mil","1839mil","145mil","1839mil","145mil","1839mil","T","180.00","0.1 uF"
"L3","0603","35mil","1174.937mil","35mil","1204.937mil","35mil","1204.937mil","T","270.00","0.18uH"
"L6","0603","266mil","1563mil","266mil","1533mil","266mil","1533mil","T","90.00","0.33uH"
"R2","0603","340mil","1436mil","340mil","1466mil","340mil","1466mil","T","270.00","1 M"
"R17","0603","236mil","1761mil","266mil","1761mil","266mil","1761mil","T","180.00","2K"
"R12","0603","153mil","1735mil","153mil","1705mil","153mil","1705mil","T","90.00","10"
"R13","0603","23mil","1560mil","23mil","1590mil","23mil","1590mil","T","270.00","10"
"C6","0603","48mil","1282mil","48mil","1252mil","48mil","1252mil","T","90.00","100 pF"
"C7","0603","236mil","1703mil","266mil","1703mil","266mil","1703mil","T","180.00","100 pF"
"C8","0603","285mil","1089mil","255mil","1089mil","255mil","1089mil","T","360.00","1000 pF"
"C9","0603","23mil","1680mil","23mil","1710mil","23mil","1710mil","T","270.00","1000 pF"
"C10","0603","236mil","1643mil","206mil","1643mil","206mil","1643mil","T","0.00","1000 pF"
"C4","0603","940mil","1659mil","970mil","1659mil","970mil","1659mil","T","180.00","10pF"
"C26","0603","900mil","1749mil","900mil","1719mil","900mil","1719mil","T","90.00","15pF"
"C27","0603","819mil","1858mil","789mil","1858mil","789mil","1858mil","T","360.00","15pF"
"R18","0603","610mil","1364mil","640mil","1364mil","640mil","1364mil","T","180.00","1K"
"C2","0603","115mil","1059mil","115mil","1029mil","115mil","1029mil","T","90.00","2 PF"
"C3","0603","83mil","1560mil","83mil","1530mil","83mil","1530mil","T","90.00","2 pF"
"C21","0603","18mil","1462mil","-12mil","1462mil","-12mil","1462mil","T","0.00","1.5pF"
"R6","0603","444.41mil","1054.59mil","444.41mil","1024.59mil","444.41mil","1024.59mil","T","90.00","22"
"R21","0603","610mil","1414mil","640mil","1414mil","640mil","1414mil","T","180.00","220K"
"C14","0603","520mil","1424mil","520mil","1454mil","520mil","1454mil","T","270.00","100pF"
"U4","SO8","627mil","1163mil","552mil","1053mil","552mil","1053mil","T","90.00","24aa256"
"Q3","SOT23_FET","242.5mil","1426mil","280mil","1466mil","242mil","1386mil","T","180.00","2N7002"
"L2","0603","285mil","1029mil","315mil","1029mil","315mil","1029mil","T","180.00","10nH"
"R23","0603","819mil","1638mil","789mil","1638mil","789mil","1638mil","T","360.00","300K"
"Y2","CRYSTAL_ABRACON_ABS07","809mil","1753mil","809mil","1753mil","809mil","1705.756mil","T","90.00","32.768KHZ CRYSTAL"
"C12","0603","370mil","1054.59mil","370mil","1024.59mil","370mil","1024.59mil","T","90.00","33 pF"
"C13","0603","134mil","1646mil","104mil","1646mil","104mil","1646mil","T","360.00","33 pF"
"R20","0603","400mil","1554mil","400mil","1584mil","400mil","1584mil","T","270.00","2.7K"
"R1","0603","819mil","1548mil","789mil","1548mil","789mil","1548mil","T","360.00","39K"
"R10","0603","185mil","1183mil","185mil","1213mil","185mil","1213mil","T","270.00","39K"
"R15","0603","614mil","1473mil","644mil","1473mil","644mil","1473mil","T","180.00","39K"
"R3","0603","939mil","1593mil","909mil","1593mil","909mil","1593mil","T","360.00","39K"
