"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R39","0603","1192.874mil","1354.717mil","1162.874mil","1354.717mil","1162.874mil","1354.717mil","T","360.00","68"
"C35","0603","603.323mil","285.181mil","603.323mil","315.181mil","603.323mil","315.181mil","T","270.00","7 PF"
"Y5","RESONATOR2","1439.984mil","1150.709mil","1439.984mil","1150.709mil","1389.984mil","1100.709mil","T","90.00","916.5_MHz Saw Filter"
"Y6","RESONATOR2","1282.945mil","1605.04mil","1282.945mil","1605.04mil","1232.945mil","1555.04mil","T","90.00","916.5_Resonator"
"L6","0603","2071.622mil","396.181mil","2041.622mil","396.181mil","2041.622mil","396.181mil","T","360.00","???"
"R6","0603","1400mil","290mil","1430mil","290mil","1430mil","290mil","T","180.00","10K"
"D3","DIODE_SC79","1497.013mil","970.181mil","1497.013mil","970.181mil","1468.013mil","970.181mil","T","180.00","BAR 65"
"J2","1X10_HEADER","118.323mil","895.181mil","118.323mil","1345.181mil","118.323mil","1345.181mil","T","270.00","CON10"
"FB1","0603","820mil","165.181mil","850mil","165.181mil","850mil","165.181mil","T","180.00","FB"
"FB3","0603","820mil","105.181mil","850mil","105.181mil","850mil","105.181mil","T","180.00","FB"
"FB4","0603","820mil","45.181mil","790mil","45.181mil","790mil","45.181mil","T","360.00","FB"
"U9","SO8_SMALL","1198.425mil","1132.795mil","1105mil","1171.181mil","1105mil","1171.181mil","T","270.00","LMC555"
"U4","SOT25","1026.5mil","745.181mil","1064mil","795.181mil","1064mil","795.181mil","T","270.00","LMV821"
"U8","SOT25","1078.5mil","137.181mil","1116mil","187.181mil","1116mil","187.181mil","T","270.00","LMV821"
"L5","MICROSTRIP","1880.736mil","392.374mil","1868.236mil","271.669mil","1868.236mil","271.669mil","T","90.00","Microstrip"
"Q1","3_PIN_ULTRA_SUPER_MINI_MOLD","1923.409mil","515.496mil","1949mil","535.181mil","1897.819mil","515.496mil","T","180.00","NE85619"
"Q6","3_PIN_ULTRA_SUPER_MINI_MOLD","1437.465mil","1379.402mil","1411.874mil","1359.717mil","1463.055mil","1379.402mil","T","360.00","NE85619"
"J3","50_OHM_ANT","1772.323mil","1580.181mil","1772.323mil","1580.181mil","1772.323mil","1580.181mil","T","0.00","SMA ANT"
"J4","50_OHM_ANT","263.323mil","1580.181mil","263.323mil","1580.181mil","263.323mil","1580.181mil","T","0.00","SMA ANT"
"U7","TO6","1620.5mil","1304.181mil","1583mil","1254.181mil","1658mil","1254.181mil","T","90.00","UPG52TA"
"C24","0603","2075mil","760mil","2075mil","730mil","2075mil","730mil","T","90.00","1pF"
"C49","0603","2270mil","760mil","2270mil","730mil","2270mil","730mil","T","90.00","39pF"
"C61","0603","2270mil","890mil","2270mil","860mil","2270mil","860mil","T","90.00",".1uF"
"L18","0603","2140mil","760mil","2140mil","730mil","2140mil","730mil","T","90.00","5.6uH"
"R54","0603","2205mil","760mil","2205mil","790mil","2205mil","790mil","T","270.00","8.2K"
"C37","0603","475mil","1475mil","475mil","1505mil","475mil","1505mil","T","270.00","47 pF"
"U6","SO8","476mil","1235.252mil","401mil","1125.252mil","401mil","1125.252mil","T","90.00","AT-113"
"U5","SO8_SMALL","278.386mil","1245.677mil","240mil","1152.252mil","240mil","1152.252mil","T","360.00","DS1804"
"Q10","SOT23_TRANS","524.315mil","999.752mil","564.315mil","962.252mil","484.315mil","1000.252mil","T","90.00","2N3904"
"Q4","SOT23_TRANS","519.323mil","739.681mil","559.323mil","702.181mil","479.323mil","740.181mil","T","90.00","BFR193"
"R42","0603","948mil","1168.181mil","948mil","1198.181mil","948mil","1198.181mil","T","270.00","4.7K"
"Y3","RESONATOR","2032.394mil","155.649mil","2031.323mil","152.181mil","2080.323mil","237.181mil","T","360.00","905.8_Resonator"
"R17","0603","1300mil","205mil","1300mil","235mil","1300mil","235mil","T","270.00","220 K"
"FB2","0603","820mil","225.181mil","850mil","225.181mil","850mil","225.181mil","T","180.00","FB"
"Q2","SOT23_TRANS","245.823mil","409.181mil","283.323mil","449.181mil","245.323mil","369.181mil","T","180.00","2N3906"
"Y4","RESONATOR2","254mil","217.252mil","254mil","217.252mil","304mil","167.252mil","T","180.00","433.92_Resonator"
"U2","SSOP20","1891.158mil","853.102mil","1776mil","723.181mil","1776mil","723.181mil","T","360.00","SA636DK"
"L3","0805","1742mil","310mil","1697mil","310mil","1697mil","310mil","T","0.00","6.8 uH"
"Q5","SOT23_TRANS","444.823mil","350.181mil","407.323mil","310.181mil","445.323mil","390.181mil","T","360.00","BFR193"
"R11","POT_PANA_EVN5","901.968mil","975.181mil","900mil","975.181mil","962.992mil","935.811mil","T","90.00","5K POT"
"U3","SOT25","831.5mil","791.181mil","869mil","841.181mil","869mil","841.181mil","T","270.00","TLV1391"
